company,details,slide_type,description,use_case,industry,tags,image_link,image_id
Deloitte ,Women @ Work 2023,Agenda,"Data visualization slide with charts and a photo, presenting statistics related to the report's findings on women's well-being.",Technology and Digital Transformation,Professional Services,['List'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027aaa2be714f386ecd645_V6CUjSO6gpGVUz60dnaBtjPhZhIkel0inK6LyKi_6v0.avif,slide-454.jpg
Deloitte ,"Women @ Work 2023: 1 Amid glimpses of progress, women's mental health is still poor - and stigma remains",Title,"Slide with statistical data represented in charts, focused on mental and physical health concerns among women.",Technology and Digital Transformation,Healthcare & Pharmaceuticals,['Picture'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ab116e9c495d4eb7adb__FPH34zvaKEp5k8pgg7FGxtdEShLXuSKPcZIkbu7oAc.avif,slide-455.jpg
Deloitte ,"Women @ Work 2023: 1 Amid glimpses of progress, women's mental health is still poor - and stigma remains",Mixed Chart,Text-dense slide with key points underlined and supported by a graphic to emphasize statistics on mental health.,Technology and Digital Transformation,Professional Services,"['Picture', 'Bar chart', 'Bullet points']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ab9161bb12eb4987550_sLhUWDabe6fgLrDrZUERjlL3-4GmidaghW3Xtb4QgmM.avif,slide-456.jpg
Deloitte ,"Women @ Work 2023: 1 Amid glimpses of progress, women's mental health is still poor - and stigma remains",Multiple Chart,"The slide presents comparative data between 2022 and 2023 about women's mental and physical health in a workplace setting, using bar graphs and a pie chart. The design is professional with a mix of text and data visualization elements.",Market Analysis and Trends,Professional Services,"['Bar chart', 'Bullet points', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ac13076d1fd51a44df3_4vyeSl4lEJwmWv4wlzrfO466lynZcUSJ_vAH1RMniFg.avif,slide-457.jpg
Deloitte ,"Women @ Work 2023: 1 Amid glimpses of progress, women's mental health is still poor - and stigma remains",Multiple Chart,This slide uses vertical bar graphs to compare data from 2022 and 2023 regarding comfort in discussing mental health and support received from employers. The design is straightforward and clean.,Organizational Structure and Change,Professional Services,"['Picture', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ac97f9e8c203a8b8ffb_hO3xJsNyRi9-WgLlgEnE23PBrYftMiRKcEuyg34IIkI.avif,slide-458.jpg
Deloitte ,"Women @ Work 2023: 1 Amid glimpses of progress, women's mental health is still poor - and stigma remains",Multiple Chart,"The slide compares feelings of burnout and comfort discussing mental health in the workplace between ethnic majorities and minorities, using bar graphs. The layout is clear and engaging.",Risk Assessment and Management,Professional Services,"['Picture', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ad02be714f386ed0317_kIP8cmj24KEjjM810wuh9KCO_KmOw0sXYEmVuGAE1oE.avif,slide-459.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Multiple Chart,"A comparative bar chart showing stress levels among Millennials and Gen Z across various countries, with percentages and color-coded bars.",Market Analysis and Trends,Professional Services,"['Column Chart', 'Pie Chart', 'Takeaway Box', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b470398e4de18ee903246_-i7BWOwFEGnRunzss-a3LIiZfpH-B3aYPEDhkkBBfNw.avif,slide-460.jpg
Deloitte ,"Women @ Work 2023: 2 When it comes to women's health, many are suffering in silence",Single Chart,"A composite slide with two images of women, text, and a graph detailing statistics about women's menstrual health at work. The design is informative, with clear sections for textual explanation and data visualization in a professional blue and green color scheme.",Technology and Digital Transformation,Healthcare & Pharmaceuticals,"['Paragraph', 'Picture', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027adec5aaa37cc46c5b5c_Q9y6U5FmkLmIAT0MdDHXt-mtql1gKZJ886I-mYf-KCQ.avif,slide-461.jpg
Deloitte ,"Women @ Work 2023: 2 When it comes to women's health, many are suffering in silence",Single Chart,"Professionally designed slide featuring text, a photograph of a woman working on a computer, and a graph. The use of circular shapes and a blue-green color scheme creates a visually cohesive and focused layout.",Technology and Digital Transformation,Healthcare & Pharmaceuticals,"['Paragraph', 'Picture', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ae6de98875ca53c6d7d_-kacWw5jwuwKxYZB1F_nG5gMhjJP1Y819XtmmeQMXr8.avif,slide-462.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Mixed Chart,"A bar chart comparing sources of anxiety and stress among Millennials and Gen Z, with categories such as family welfare, financial future, and job prospects.",Market Analysis and Trends,Professional Services,"['Bar chart', 'Paragraph', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b470658e9db27e23c8fcd_pmjnLs10j1OnOLskv2PufTkcBbOEQ1jx3mUQ7bz6eV0.avif,slide-463.jpg
Deloitte ,Women @ Work 2023: 3 Factors outside of the workplace also take a toll,Mixed Chart,"Slide with a graph and images, blue-green color theme, visualizing the distribution of domestic work.",Technology and Digital Transformation,Professional Services,"['Paragraph', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027af554ad6465f8c2073b_ZGPrp7PcxnskZm2ng1ompIC3xW3DemWpErh0fSJn4f8.avif,slide-464.jpg
Deloitte ,Women @ Work 2023: 3 Factors outside of the workplace also take a toll,Multiple Chart,"A slide with text and image showcasing a woman using a tablet, with data presented on income sources in households.",Technology and Digital Transformation,Professional Services,"['Paragraph', 'Bar chart', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027afc9f0b244d492dd54c_rfgXbrDuvgpy8BvXZULKiuGNzQPkZ7vUgtMQ5i-sBUg.avif,slide-465.jpg
Deloitte ,Women @ Work 2023: 3 Factors outside of the workplace also take a toll,Single Chart,"Displays a smiling woman at a desk, with a large '4' and text, set against abstract teal circles on a white background.",Technology and Digital Transformation,Professional Services,"['Picture', 'Other Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b03ce8950640ffb5c66_azD6kZAqb-_k6yimqkgx50ydL3_4d4NSRrwNZ07F5DY.avif,slide-466.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Mixed Chart,"A bar chart comparing Millennials and Gen Z on financial prudence and ability to cope with financial crises, with percentage indicators for various financial metrics.",Financial Performance,Financial Services,"['Column Chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47098b93894d79f8d48e_N4RDMfan6v3BXCtIBq41NWiPaiHwzT3r2Gl3zsBsfr4.avif,slide-467.jpg
Deloitte ,Women @ Work 2023: 4 Women are seeking more flexibility and making career choices accordingly,Multiple Chart,"Comprising a mix of text and graphical elements, this slide utilizes horizontal bar charts to depict statistical data on reasons for employment changes, with clearly delineated sections and color-coding for easy comprehension.",Market Analysis and Trends,Professional Services,"['Paragraph', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b112be312d1bf7f1821_OqRk7Tjw1SmQKIlIVY1wv6cyYP_bIWFHdZC0EfGrQI8.avif,slide-468.jpg
Deloitte ,Women @ Work 2023: 4 Women are seeking more flexibility and making career choices accordingly,Multiple Chart,The slide presents bar graphs comparing the employment duration expectations of women with varying degrees of work flexibility. The color-coded design aids in distinguishing between the groups.,Performance Metrics and KPIs,Professional Services,"['Paragraph', 'Bar chart', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b188f2747192864aebb_O7izslykX8fxHvoeELmaVu6yxAzuwAFNmSZBokLbKys.avif,slide-469.jpg
Deloitte ,Women @ Work 2023: 4 Women are seeking more flexibility and making career choices accordingly,Mixed Chart,"This slide contrasts the perception of work/life balance over two years using pie charts and text descriptions, effectively depicting changes over time. The design is clean, with high contrast for readability.",Regulatory and Compliance,Professional Services,"['Bar chart', 'Bullet points', 'Other Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b204ad0080434bf4178_KoDiwSoTDsQtVPnZ_-FdjVEjDvcIRwiHVfrkQVuDZoc.avif,slide-470.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Mixed Chart,"A bar chart comparing Millennials and Gen Z on financial responsibility, with various metrics such as budgeting, knowledge level, and financial goals.",Financial Performance,Financial Services,"['Bar chart', 'Paragraph', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b470c459e0c86c3f1fa37_tVbQW_UuAEjOt16ycKNbKjcsYacuGTf1JEH3ZDBnsH0.avif,slide-471.jpg
Deloitte ,Women @ Work 2023: 5 Hybrid working is getting better - for some,Multiple Chart,"The slide uses horizontal bar graphs and circular statistics to present current versus preferred work arrangements, emphasizing the contrast in hybrid working scenarios.",Market Analysis and Trends,Professional Services,"['Paragraph', 'Bar chart', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b2e457e988f8a716637_MwQB8KgrUiXcWUCE7A7aCMY-m3NyVn3r7CPc4gRYRpI.avif,slide-472.jpg
Deloitte ,Women @ Work 2023: 5 Hybrid working is getting better - for some,Multiple Chart,"The slide features bar graphs contrasting experiences from two different years, set within a large circular design, indicating trends over time.",Risk Assessment and Management,Professional Services,"['Paragraph', 'Picture', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b36ce8950640ffba408_R-gdeS-PGdrsXj_tn7Of2ewybgN-X7Y4jlq5IyKQHlw.avif,slide-473.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Multiple Chart,"A comparative bar chart showing top concerns among Millennials and Gen Z before and after the pandemic, with categories like climate change and health care.",Market Analysis and Trends,Professional Services,"['Bar chart', 'Paragraph', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b470f152c07ae111c556e_06wh5o5bKlSxPBEZkd72YcKSed5IWJ7zST58jF8ASgk.avif,slide-474.jpg
Deloitte ,Women @ Work 2023: 6 Non-inclusive behaviors remain but are declining - and more women are reporting microagressions to their employers,Multiple Chart,"Includes a circular design and pie charts to represent statistical data, with an emphasis on workplace experiences of minority groups.",Organizational Structure and Change,Professional Services,"['Icon', 'Paragraph', 'Bar chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b463d8693df031d68db_F660c1t9Cj8-F1Ob4_IrO1S4MHaplDujzcVQYmDBBpY.avif,slide-475.jpg
Deloitte ,Women @ Work 2023: 6 Non-inclusive behaviors remain but are declining - and more women are reporting microagressions to their employers,Multiple Chart,"This slide presents a bar graph on the left and a photo of a woman speaking on the right, circled by a semi-transparent design that indicates a thematic continuation.",Organizational Structure and Change,Professional Services,"['Paragraph', 'Picture', 'Bar chart', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b4d80308d837ae7be7f_bLDlePEu6VpHPHJnGLsxRDAeNUzFgh6A8c_RqlsYgkA.avif,slide-476.jpg
Deloitte ,Women @ Work 2023: 6 Non-inclusive behaviors remain but are declining - and more women are reporting microagressions to their employers,Table,"Features bar graphs depicting reasons for not reporting workplace behaviors, complemented by a circular design element that frames the right side of the slide.",Risk Assessment and Management,Professional Services,"['Paragraph', 'Picture', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b5554ad6465f8c29470_EcSy0udGzyY62jsxamx95MrfPOPv_RayKpgeSDR-wBE.avif,slide-477.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Mixed Chart,"A bar chart comparing Millennials and Gen Z on their views about climate change, with agree/disagree metrics on whether it is too late to repair the damage.",Market Analysis and Trends,Environmental Services & Sustainability,"['Line Chart', 'Paragraph', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47121a07fd2d2ccc7457_96PmQQMaE_AqNN1PJkfU3Rp3h_EZNI26iNJoamsG0Eo.avif,slide-478.jpg
Deloitte ,Women @ Work 2023: 7 The Gender Equality Leaders are benefiting from doing it right,Multiple Chart,The slide combines text and circular graphical elements to showcase survey results regarding organizational commitments to gender equality.,Market Analysis and Trends,Professional Services,"['Paragraph', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b63b07c923ad6253ee0_5BiqT7QRwQPSqu9IiJOyGXkE61YDiRedawJakx8TeD0.avif,slide-479.jpg
Deloitte ,Women @ Work 2023: 7 The Gender Equality Leaders are benefiting from doing it right,Single Chart,"Slide presents circular graphical elements and textual data to compare Gender Equality Leaders with other organizations, using a large circle design on the right side.",Human Resources and Talent Management,Professional Services,"['Icon', 'Paragraph', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b6cde98875ca53d11f5_UX4iOGDZiWt4pYjYlQw7SxbKb6r9iXpVbFazsTnypKQ.avif,slide-480.jpg
Deloitte ,Women @ Work 2023: 7 The Gender Equality Leaders are benefiting from doing it right,Multiple Chart,A slide with bar graphs and circular statistics to illustrate the experiences of women in hybrid working environments and how they vary by organizational culture.,Operational Efficiency,Professional Services,"['Paragraph', 'Bar chart', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b7352e75aa9bc222347_gEr9iVg8oGykwSjvr2v6QONfnVYPtNpw1cgbjHXbhWk.avif,slide-481.jpg
Deloitte ,Women @ Work 2023: 7 The Gender Equality Leaders are benefiting from doing it right,Multiple Chart,This slide features no visual data but offers a text-heavy approach with bulleted lists for clarity on recommendations related to gender equality in the workplace.,Strategic Planning,Professional Services,"['Paragraph', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027b7d531878259f71d27c_2FKjY_WTs77SHV_n6mutEExoq5CoRktti6Vhr_RYDLY.avif,slide-482.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Mixed Chart,This slide contains a bar chart with horizontal bars comparing the actions taken by Millennials and Gen Z to protect the environment. The bars are color-coded to distinguish between the two groups. The slide also includes a block of text providing context and analysis.,Market Analysis and Trends,Environmental Services & Sustainability,"['Bar chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b4715fc284283f7cb75ff_IybtU0J5KbRT9DiygZnQyu12Z0h5Taxwkb1m0xWALIs.avif,slide-483.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Mixed Chart,This slide features a bar chart with horizontal bars showing the percentage of Millennials and Gen Z who agree with various statements about the pandemic's impact on their sense of responsibility. It includes text analysis on the left side.,Market Analysis and Trends,Environmental Services & Sustainability,"['Bar chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47197c93300db1e93f84_d3eqW8yIbn_es-nJvSNMdZgxO0cWbH2jXIlld0fK3aI.avif,slide-484.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Multiple Chart,"This slide displays a bar chart with horizontal bars illustrating survey responses about remote working preferences among Millennials and Gen Z. The bars are color-coded for each group, accompanied by explanatory text on the left.",Market Analysis and Trends,Professional Services,"['Bar chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b471c152c07ae111c6546_dfwszDlMoOSwCWl8dDx3VIND3AYv7ZcdzZeZ6ToKpMU.avif,slide-485.jpg
Deloitte ,Women @ Work 2023: 7 The Gender Equality Leaders are benefiting from doing it right,Mixed Chart,"Slide includes a title at the top, followed by a two-column layout with one column dedicated to methodology description and the other to pie and bar charts displaying demographic data such as ethnicity, age, seniority, and LGBT percentage.",Market Analysis and Trends,Professional Services,"['Icon', 'Bar chart', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027ba2531878259f721447_0K48hcTg3mIR3bXPJ5DFP84UwfWOxHQvwys6lYp3o2E.avif,slide-486.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Multiple Chart,The slide features a bar chart with horizontal bars representing survey data on employer performance in various areas important to Millennials and Gen Z. It includes comparative data and a textual analysis on the left side.,Market Analysis and Trends,Professional Services,"['Bar chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b4721702e07aee7bd0f52_zaU97v3uia5HP0bx2SFY65luqAGwM1Ql68Kv9sL08GE.avif,slide-487.jpg
Accenture ,Transforming the Industry that transformed the World: High Tech industry narrative,Diagram,"Features a hexagonal, honeycomb-like graphic with icons and bullet points describing eight significant trends in the high-tech industry.",Strategic Planning,Technology & Software,['Diagram'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027bb3b61e2b96843d95c1_pm96rso6rsCP7xCfiX8fL8U6rLhB2kjD0_EG62OLkGI.avif,slide-488.jpg
Accenture ,Transforming the Industry that transformed the World: High Tech industry narrative,Table,"Divided into three columns: Technological evolution, Operating model re-invention, Macro-transformation, each with bullet points and associated icons.",Market Analysis and Trends,Technology & Software,['Table'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027bbade98875ca53d78e4_YVQGo4efcW6E9JE9zZQhvsSnDYqxn-EV3wTp4lMlgjo.avif,slide-489.jpg
Accenture ,Transforming the Industry that transformed the World: High Tech industry narrative,Linear Flow,"Uses a combination of bold text, numbering, and colored backgrounds to highlight five strategic imperatives for C-level executives in the high-tech industry.",Strategic Planning,Technology & Software,['Timeline'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027bc156860e89e27d7038_F1dDtuoxSSwgtdKP4Pw54H_FgNVAvnblsaPVS7ILr1k.avif,slide-490.jpg
Accenture ,Transforming the Industry that transformed the World: 01 Shift to as-a-serice,Title,"A vibrant abstract image paired with a centered, bold numbered heading and descriptive text below.",Strategic Planning,Technology & Software,"['Table', 'Graphic']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027bc974cb7ceef8759e8e_9tIQibwvLCxzlLBCdYS6iDcxxgLn6kBw995HfRCVhWc.avif,slide-491.jpg
Accenture ,Transforming the Industry that transformed the World: 01 Shift to as-a-serice,Linear Flow,"Timeline graphic illustrating Apple's evolution with images of products, financial highlights, and a narrative caption.",Technology and Digital Transformation,Technology & Software,"['Table', 'Timeline']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027bd18aeb5f7fd6c26f00__v014_cCcYM6xnY0oVJpK1AFMKrvB-XV2V-KP3758UY.avif,slide-492.jpg
Accenture ,Transforming the Industry that transformed the World: 01 Shift to as-a-serice,Linear Flow,"Contains a mix of text, charts, and call-out boxes that break down the growth and projections of as-a-service models, highlighting key statistics.",Financial Performance,Technology & Software,"['Icon', 'Timeline', 'Takeaway Box']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027bd8a4ab81b8a18ea242_Kbud3ilwkC7i0NaugmIfvM7u1MegO1yr0p_wF54eQHk.avif,slide-493.jpg
Accenture ,Transforming the Industry that transformed the World: 01 Shift to as-a-serice,Multiple Chart,"Features pie charts, percentage callouts, and bullet points emphasizing the focus of high-tech leaders on as-a-service models for growth.",Investment Analysis,Technology & Software,"['Icon', 'Pie Chart', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027bdfb828c9ffbdca2568_KzpCwpFTgIzJcf3-ek6AiKvomQENmTR9df1GKNk__Po.avif,slide-494.jpg
Accenture ,Transforming the Industry that transformed the World: 01 Shift to as-a-serice,Diagram,"Contains a central diagram with five strategic actions around it, each action is represented with an icon and a brief description.",Operational Efficiency,Technology & Software,"['Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027be768e0e47faae3825c_F8VD5hCBkTDhUxAmxso0qg6fIp_EM7bcvj3iCq6qDp0.avif,slide-495.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Mixed Chart,This slide includes a bar chart with horizontal bars showing survey responses on employer performance during the pandemic. The chart is complemented by a detailed text analysis on the left side.,Operational Efficiency,Professional Services,"['Bar chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b4725152c07ae111c6fd7_K1RZusdUBZ97Qw5s4p2u7GQAvJxpX5PptEPBrFQCNmg.avif,slide-496.jpg
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Boxed,"This slide provides a timeline of NVIDIA's market capitalization, paired with text descriptions on a white and purple background. Icons are used to depict various sectors like autonomous vehicles, smart city solutions, and intelligent stores.",Market Analysis and Trends,Technology & Software,"['Icon', 'Paragraph', 'Bullet points', 'Timeline']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027bf567d2c83ceafe28d8__zmRuCdEMB352CSKQgIUznPlUcvgsEdZbXRqnc8dJsY.avif,slide-497.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Mixed Chart,"The slide displays a bar chart with horizontal bars indicating survey responses about government performance during the pandemic. The chart is accompanied by text on the left, providing an overview and interpretation of the results.",Regulatory and Compliance,Government & Public Sector,"['Bar chart', 'Paragraph']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b472858e9db27e23cbabc_acjVbIDzAyLBy-Bj5SP7lSC67ykZzEyf3Svw9DxIQMA.avif,slide-498.jpg
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Single Chart,"The slide features prominent statistics, infographics, and text. The use of white and purple colors divides the slide into different sections, aiding in the distribution of information.",Risk Assessment and Management,Technology & Software,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c044531ae05459810dc_2ZZ-EE_lvl8pnuUbS9oPHk5AIQsN9h6gF30nMFzcGxU.avif,slide-499.jpg
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Diagram,"The slide depicts a circular diagram with four quadrants, each containing an icon and text. The purple central circle anchors the design, while arrows point outward to the individual pathways described.",Strategic Planning,Technology & Software,"['Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c0bb61e2b96843e0d8d_xSXQRFdJ3y5esjSFuDnYkm8gwX9bRMvaGTgwpkNYgA0.avif,slide-500.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Multiple Chart,"This slide includes two column charts, one for Millennials and one for Gen Z, showing mood scores by geography. The bars are color-coded to distinguish between primary and pulse survey results.",Market Analysis and Trends,Media & Entertainment,['Column Chart'],https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b472b7a9b6e6d4f879133_uinBdrJgQBXMAyD6WBTpyu0jOtR2u40scpn4O3CGl44.avif,slide-501.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Graphic,This slide features a world map showing the geographic distribution of survey respondents. Different sizes of green and blue dots indicate the number of Millennials and Gen Z participants from various regions.,Market Analysis and Trends,Media & Entertainment,"['Heatmap', 'Callouts']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b472efc284283f7cb9314_25Bn5zh2BOFops_ohYrdAK_5g8pHgkwYy2Fz2XD_wUM.avif,slide-502.jpg
Deloitte ,The Deloitte Global Millennial Survey 2020,Graphic,This slide presents a world map illustrating the geographic distribution of respondents from the pulse survey. Green and blue dots of various sizes represent the number of Millennials and Gen Z participants from different regions.,Market Analysis and Trends,Media & Entertainment,"['Heatmap', 'Callouts']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b4732d0afd4eb3bfdd1eb_I5Ct9Efudpljl0h9JdYWgfHxCy_pmi_WevMqQwqkgGA.avif,slide-503.jpg
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Single Chart,"The slide presents infographics and percentages that emphasize the importance of digital enablers. Purple and grey tones are used, creating a clean and organized layout.",Strategic Planning,Technology & Software,"['Icon', 'Column Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c303d8693df031ea307_a_P179Dhuhbqk2WWfqKtrFnHXng0YZdc6sTn972BQEg.avif,slide-504.jpg
Deloitte ,"Remote work: Setting the right strategy The Dbriefs Global Mobility, Talent & Rewards series",Mixed Chart,The slide contains several data blocks with statistics on employer and workforce sentiments regarding returning to work post-pandemic. It includes bar charts and text descriptions to explain the trends.,Market Analysis and Trends,Professional Services,"['Column Chart', 'Table']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47347f0adb8bcd65d95f_IPausTJyeM9DYKMIDnfnakGN9e-iJpHpJJIbNrmxAf8.avif,slide-505.jpg
Deloitte ,"Remote work: Setting the right strategy The Dbriefs Global Mobility, Talent & Rewards series",Pillar,"Diagram with multiple icons representing different remote work scenarios, each described below with brief points in colored boxes.",Human Resources and Talent Management,Professional Services,"['Bullet points', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b4737d495ef093b3d9a55_WUgy0kxe0r_CGc1RpCRxVtEc4fTcRGNoIquIoXaQbhU.avif,slide-506.jpg
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Diagram,"Depicts Lenovo's evolution with a central graphic highlighting core modernization areas and financial milestones, complemented by a clear layout with purple and white design elements.",Market Analysis and Trends,Technology & Software,"['Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c46abcd9096d1ef978d_MxzoRd0-yI-dxOuivBwzZZNK4BY3Zvtn65MxxS9kGOU.avif,slide-507.jpg
Deloitte ,"Remote work: Setting the right strategy The Dbriefs Global Mobility, Talent & Rewards series",Diagram,"Content slide with numbered sections and a central figure showing various tax and legal implications, with green and blue text and icons.",Regulatory and Compliance,Financial Services,"['List', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b473aed08e553c6d6ef34_3LvYjIRCBHEMuz3JeqY9DeDNIlvH6e5nAULISC7fuaw.avif,slide-508.jpg
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Multiple Chart,"The slide offers a visual summary of executive opinions on AI and Cloud benefits through infographics and percentage statistics, with a distinct purple and white color scheme for clarity.",Strategic Planning,Technology & Software,"['Icon', 'Pie Chart']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c56b07c923ad6269131_qu_mHEG8lHe5Q7qMihuYxXraYXmykfs1WiEhnCwPtP0.avif,slide-509.jpg
Deloitte ,"Remote work: Setting the right strategy The Dbriefs Global Mobility, Talent & Rewards series",Linear Flow,"Comparative slide with three columns detailing managing remote work requests, assessing compliance risks, and approval/documentation processes, with simple icons and text.",Risk Assessment and Management,Professional Services,"['Bullet points', 'Process Flow', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b473d3250a86cfe69b40a_CVMBwQLYHNIj88A3_n3PLPRfxhzhn62WjiMUqGDmBVM.avif,slide-510.jpg
Deloitte ,"Remote work: Setting the right strategy The Dbriefs Global Mobility, Talent & Rewards series",Header Horizontal,"Diagram slide with three sections (employee request, compliance assessment, outcomes and results), each with icons and text describing the process.",Risk Assessment and Management,Professional Services,"['List', 'Graphic', 'Icon', 'Diagram']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47406b7777f9a87e4552_9zSa4H3Xx5az4yKHWgTHepMQAuUASCAOcIrF1-DSHu0.avif,slide-511.jpg
Accenture ,Transforming the Industry that transformed the World: 02 Expand industry boundaries,Diagram,"Purple dominant color, timeline, and puzzle pieces graphics representing different stages of Samsung's growth.",Market Analysis and Trends,Technology & Software,"['Icon', 'Timeline']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/67027c6d98bd88c8cde92a84_TdgpP1ykO4KiNdtg0FazNvef072oaGWibeX4g2bzaYs.avif,slide-512.jpg
Deloitte ,"Remote work: Setting the right strategy The Dbriefs Global Mobility, Talent & Rewards series",Table,"Diagram showing a flow from immediate actions to long-term strategy, with icons and descriptions for each stage and related tools.",Strategic Planning,Professional Services,"['Table', 'Graphic', 'Icon']",https://cdn.prod.website-files.com/654e70fb59937215cac87b19/680b47434e94dd0abc564bb1_UlKcdrgan10h2nMcq6AyDFh2IVAdWjiJciYbws3B8kg.avif,slide-513.jpg
